# init omega gamma A f
1.496837267e+00 5.397006258e+00 3.900570362e-01 0.000000000e+00 4.997372889e+00
-3.761853920e-01 3.782217099e+00 3.673016582e-01 0.000000000e+00 4.431832112e+00
1.328993174e+00 3.079745271e+00 2.042050120e-01 0.000000000e+00 3.350294761e+00
-7.482857891e-01 5.558353895e+00 7.197868847e-02 0.000000000e+00 3.572343213e+00
-5.680352366e-01 2.030518753e-01 4.022826077e-01 0.000000000e+00 3.154173378e+00
-1.199193528e+00 5.906332276e+00 5.145862370e-02 0.000000000e+00 5.633377623e+00
-8.108538392e-01 1.179947905e+00 1.434026361e-01 0.000000000e+00 6.251111536e+00
-5.698034636e-01 6.022642071e-01 4.518148505e-01 0.000000000e+00 4.612760535e+00
1.457208830e+00 1.747491361e+00 4.994473682e-01 0.000000000e+00 5.758166361e+00
-7.421396146e-01 4.345271644e+00 4.827670010e-01 0.000000000e+00 3.361961476e+00
-1.852407768e-01 4.052907203e+00 4.366890426e-01 0.000000000e+00 5.153722473e+00
3.449943416e-01 5.543237060e+00 2.910461820e-01 0.000000000e+00 3.714064707e+00
1.141770871e+00 7.546578550e-01 3.193074048e-01 0.000000000e+00 6.059066843e+00
1.142199086e+00 1.120508541e+00 3.898611192e-01 0.000000000e+00 4.586269089e+00
5.491273239e-01 4.231622729e-01 1.518626032e-01 0.000000000e+00 4.828659010e+00
5.020054526e-01 5.718540602e+00 4.728698860e-01 0.000000000e+00 4.714434660e+00
7.402791727e-01 3.170237376e+00 4.073213561e-01 0.000000000e+00 6.196524246e+00
-8.705535135e-01 2.018711783e+00 2.794256722e-01 0.000000000e+00 5.344392242e+00
-1.029712180e+00 1.130535981e+00 1.789747514e-01 0.000000000e+00 4.940440677e+00
1.163103014e+00 6.109998199e+00 2.129947264e-01 0.000000000e+00 4.351298918e+00
-1.381164615e+00 3.780730481e+00 3.281837609e-01 0.000000000e+00 3.675830261e+00
5.767831745e-01 3.883204070e+00 6.582998029e-02 0.000000000e+00 3.708811378e+00
5.376873801e-01 4.326629430e+00 4.036614289e-01 0.000000000e+00 3.999674442e+00
