INFO:root:[Train - epoch 1]	 Lc: 1.63e+00, Accuracy: 5.68e-01, 
INFO:root:[Val - epoch 1]	 Lc: 9.77e-01, Accuracy: 7.34e-01, F1-score: 7.34e-01, 
INFO:root:[Train - epoch 2]	 Lc: 4.27e-01, Accuracy: 9.52e-01, 
INFO:root:[Val - epoch 2]	 Lc: 5.34e-01, Accuracy: 8.11e-01, F1-score: 8.11e-01, 
INFO:root:[Train - epoch 3]	 Lc: 7.91e-02, Accuracy: 9.91e-01, 
INFO:root:[Val - epoch 3]	 Lc: 5.90e-01, Accuracy: 8.09e-01, F1-score: 8.09e-01, 
INFO:root:[Train - epoch 4]	 Lc: 2.22e-02, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 4]	 Lc: 7.18e-01, Accuracy: 8.19e-01, F1-score: 8.19e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.22e-02, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 5]	 Lc: 7.19e-01, Accuracy: 8.22e-01, F1-score: 8.22e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.52e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 6]	 Lc: 6.11e-01, Accuracy: 8.07e-01, F1-score: 8.07e-01, 
INFO:root:[Train - epoch 7]	 Lc: 8.88e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 7]	 Lc: 4.48e-01, Accuracy: 8.48e-01, F1-score: 8.48e-01, 
INFO:root:[Train - epoch 8]	 Lc: 3.88e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 8]	 Lc: 5.70e-01, Accuracy: 8.35e-01, F1-score: 8.35e-01, 
INFO:root:[Train - epoch 9]	 Lc: 3.71e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 9]	 Lc: 5.83e-01, Accuracy: 8.40e-01, F1-score: 8.40e-01, 
INFO:root:[Train - epoch 10]	 Lc: 3.18e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 5.02e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 11]	 Lc: 2.84e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 4.84e-01, Accuracy: 8.47e-01, F1-score: 8.47e-01, 
INFO:root:[Train - epoch 12]	 Lc: 2.73e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 4.94e-01, Accuracy: 8.45e-01, F1-score: 8.45e-01, 
INFO:root:[Train - epoch 13]	 Lc: 2.86e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 4.86e-01, Accuracy: 8.51e-01, F1-score: 8.51e-01, 
INFO:root:[Train - epoch 14]	 Lc: 3.27e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 14]	 Lc: 4.76e-01, Accuracy: 8.50e-01, F1-score: 8.50e-01, 
INFO:root:[Train - epoch 15]	 Lc: 2.92e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 4.32e-01, Accuracy: 8.51e-01, F1-score: 8.51e-01, 
INFO:root:[Train - epoch 16]	 Lc: 4.58e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 16]	 Lc: 4.70e-01, Accuracy: 8.57e-01, F1-score: 8.57e-01, 
INFO:root:[Train - epoch 17]	 Lc: 3.11e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 17]	 Lc: 5.16e-01, Accuracy: 8.46e-01, F1-score: 8.46e-01, 
INFO:root:[Train - epoch 18]	 Lc: 2.85e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 18]	 Lc: 4.43e-01, Accuracy: 8.53e-01, F1-score: 8.53e-01, 
INFO:root:[Train - epoch 19]	 Lc: 4.18e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 19]	 Lc: 4.09e-01, Accuracy: 8.63e-01, F1-score: 8.63e-01, 
INFO:root:[Train - epoch 20]	 Lc: 1.82e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 20]	 Lc: 4.29e-01, Accuracy: 8.60e-01, F1-score: 8.60e-01, 
INFO:root:[Train - epoch 21]	 Lc: 1.92e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 4.25e-01, Accuracy: 8.64e-01, F1-score: 8.64e-01, 
INFO:root:[Train - epoch 22]	 Lc: 1.85e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 4.77e-01, Accuracy: 8.58e-01, F1-score: 8.58e-01, 
INFO:root:[Train - epoch 23]	 Lc: 2.01e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 4.79e-01, Accuracy: 8.58e-01, F1-score: 8.58e-01, 
INFO:root:[Train - epoch 24]	 Lc: 1.88e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 4.68e-01, Accuracy: 8.59e-01, F1-score: 8.59e-01, 
INFO:root:[Train - epoch 25]	 Lc: 2.00e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 5.08e-01, Accuracy: 8.58e-01, F1-score: 8.58e-01, 
INFO:root:[Train - epoch 26]	 Lc: 1.85e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 26]	 Lc: 5.32e-01, Accuracy: 8.62e-01, F1-score: 8.62e-01, 
INFO:root:[Train - epoch 27]	 Lc: 2.19e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 27]	 Lc: 6.24e-01, Accuracy: 8.54e-01, F1-score: 8.54e-01, 
INFO:root:[Train - epoch 28]	 Lc: 3.60e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 28]	 Lc: 4.46e-01, Accuracy: 8.63e-01, F1-score: 8.63e-01, 
INFO:root:[Train - epoch 29]	 Lc: 2.53e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 29]	 Lc: 5.84e-01, Accuracy: 8.51e-01, F1-score: 8.51e-01, 
INFO:root:[Train - epoch 30]	 Lc: 2.21e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 30]	 Lc: 4.77e-01, Accuracy: 8.61e-01, F1-score: 8.61e-01, 
INFO:root:[Train - epoch 31]	 Lc: 1.69e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 31]	 Lc: 5.02e-01, Accuracy: 8.57e-01, F1-score: 8.57e-01, 
INFO:root:[Train - epoch 32]	 Lc: 1.72e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 32]	 Lc: 4.97e-01, Accuracy: 8.58e-01, F1-score: 8.58e-01, 
INFO:root:[Train - epoch 33]	 Lc: 1.67e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 33]	 Lc: 4.98e-01, Accuracy: 8.55e-01, F1-score: 8.55e-01, 
INFO:root:[Train - epoch 34]	 Lc: 1.64e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 34]	 Lc: 5.00e-01, Accuracy: 8.56e-01, F1-score: 8.56e-01, 
INFO:root:[Train - epoch 35]	 Lc: 1.81e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 35]	 Lc: 5.39e-01, Accuracy: 8.54e-01, F1-score: 8.54e-01, 
INFO:root:[Train - epoch 36]	 Lc: 2.30e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 36]	 Lc: 5.31e-01, Accuracy: 8.54e-01, F1-score: 8.54e-01, 
INFO:root:[Train - epoch 37]	 Lc: 1.42e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 37]	 Lc: 5.21e-01, Accuracy: 8.51e-01, F1-score: 8.51e-01, 
