INFO:root:[Train - epoch 1]	 Lc: 2.06e+00, Lr: 2.73e-01, 
INFO:root:[Val - epoch 1]	 Lc: 2.16e+00, Lr: 2.16e-01, Accuracy: 7.20e-02, F1-score: 7.20e-02, 
INFO:root:[Train - epoch 2]	 Lc: 1.85e+00, Lr: 1.93e-01, 
INFO:root:[Val - epoch 2]	 Lc: 2.48e+00, Lr: 1.58e-01, Accuracy: 7.03e-02, F1-score: 7.03e-02, 
INFO:root:[Train - epoch 3]	 Lc: 1.76e+00, Lr: 1.54e-01, 
INFO:root:[Val - epoch 3]	 Lc: 2.34e+00, Lr: 1.47e-01, Accuracy: 7.03e-02, F1-score: 7.03e-02, 
INFO:root:[Train - epoch 4]	 Lc: 1.44e+00, Lr: 1.38e-01, 
INFO:root:[Val - epoch 4]	 Lc: 1.98e+00, Lr: 1.28e-01, Accuracy: 1.35e-01, F1-score: 1.35e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.39e+00, Lr: 1.37e-01, 
INFO:root:[Val - epoch 5]	 Lc: 2.02e+00, Lr: 9.52e-02, Accuracy: 1.78e-01, F1-score: 1.78e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.43e+00, Lr: 8.99e-02, 
INFO:root:[Val - epoch 6]	 Lc: 2.03e+00, Lr: 8.71e-02, Accuracy: 3.41e-01, F1-score: 3.41e-01, 
INFO:root:[Train - epoch 7]	 Lc: 1.11e+00, Lr: 8.27e-02, 
INFO:root:[Val - epoch 7]	 Lc: 2.40e+00, Lr: 7.54e-02, Accuracy: 2.58e-01, F1-score: 2.58e-01, 
INFO:root:[Train - epoch 8]	 Lc: 8.72e-01, Lr: 7.32e-02, 
INFO:root:[Val - epoch 8]	 Lc: 1.79e+00, Lr: 6.76e-02, Accuracy: 3.39e-01, F1-score: 3.39e-01, 
INFO:root:[Train - epoch 9]	 Lc: 8.09e-01, Lr: 8.03e-02, 
INFO:root:[Val - epoch 9]	 Lc: 1.29e+00, Lr: 9.39e-02, Accuracy: 5.15e-01, F1-score: 5.15e-01, 
INFO:root:[Train - epoch 10]	 Lc: 6.51e-01, Lr: 7.99e-02, 
INFO:root:[Val - epoch 10]	 Lc: 1.40e+00, Lr: 6.14e-02, Accuracy: 5.24e-01, F1-score: 5.24e-01, 
INFO:root:[Train - epoch 11]	 Lc: 4.24e-01, Lr: 9.74e-02, 
INFO:root:[Val - epoch 11]	 Lc: 2.59e+00, Lr: 8.18e-02, Accuracy: 3.97e-01, F1-score: 3.97e-01, 
INFO:root:[Train - epoch 12]	 Lc: 2.63e-01, Lr: 7.12e-02, 
INFO:root:[Val - epoch 12]	 Lc: 2.91e+00, Lr: 6.05e-02, Accuracy: 4.29e-01, F1-score: 4.29e-01, 
INFO:root:[Train - epoch 13]	 Lc: 3.44e-01, Lr: 6.93e-02, 
INFO:root:[Val - epoch 13]	 Lc: 2.31e+00, Lr: 6.95e-02, Accuracy: 5.65e-01, F1-score: 5.65e-01, 
INFO:root:[Train - epoch 14]	 Lc: 1.85e-01, Lr: 6.95e-02, 
INFO:root:[Val - epoch 14]	 Lc: 1.78e+00, Lr: 6.19e-02, Accuracy: 5.90e-01, F1-score: 5.90e-01, 
INFO:root:[Train - epoch 15]	 Lc: 3.91e-01, Lr: 6.25e-02, 
INFO:root:[Val - epoch 15]	 Lc: 2.09e+00, Lr: 6.33e-02, Accuracy: 5.25e-01, F1-score: 5.25e-01, 
INFO:root:[Train - epoch 16]	 Lc: 3.58e-01, Lr: 7.67e-02, 
INFO:root:[Val - epoch 16]	 Lc: 2.10e+00, Lr: 7.80e-02, Accuracy: 6.22e-01, F1-score: 6.22e-01, 
INFO:root:[Train - epoch 17]	 Lc: 1.51e-01, Lr: 8.39e-02, 
INFO:root:[Val - epoch 17]	 Lc: 4.03e+00, Lr: 1.10e-01, Accuracy: 3.95e-01, F1-score: 3.95e-01, 
INFO:root:[Train - epoch 18]	 Lc: 3.20e-01, Lr: 9.50e-02, 
INFO:root:[Val - epoch 18]	 Lc: 2.08e+00, Lr: 9.74e-02, Accuracy: 6.68e-01, F1-score: 6.68e-01, 
INFO:root:[Train - epoch 19]	 Lc: 2.69e-01, Lr: 8.24e-02, 
INFO:root:[Val - epoch 19]	 Lc: 3.25e+00, Lr: 9.62e-02, Accuracy: 4.36e-01, F1-score: 4.36e-01, 
INFO:root:[Train - epoch 20]	 Lc: 1.23e-01, Lr: 8.05e-02, 
INFO:root:[Val - epoch 20]	 Lc: 1.04e+00, Lr: 7.24e-02, Accuracy: 7.13e-01, F1-score: 7.13e-01, 
INFO:root:[Train - epoch 21]	 Lc: 8.52e-02, Lr: 6.94e-02, 
INFO:root:[Val - epoch 21]	 Lc: 2.38e+00, Lr: 8.46e-02, Accuracy: 5.80e-01, F1-score: 5.80e-01, 
INFO:root:[Train - epoch 22]	 Lc: 5.80e-02, Lr: 7.74e-02, 
INFO:root:[Val - epoch 22]	 Lc: 1.89e+00, Lr: 7.17e-02, Accuracy: 7.06e-01, F1-score: 7.06e-01, 
INFO:root:[Train - epoch 23]	 Lc: 4.51e-02, Lr: 6.70e-02, 
INFO:root:[Val - epoch 23]	 Lc: 1.44e+00, Lr: 6.19e-02, Accuracy: 7.18e-01, F1-score: 7.18e-01, 
INFO:root:[Train - epoch 24]	 Lc: 3.77e-02, Lr: 7.22e-02, 
INFO:root:[Val - epoch 24]	 Lc: 1.52e+00, Lr: 6.84e-02, Accuracy: 6.88e-01, F1-score: 6.88e-01, 
INFO:root:[Train - epoch 25]	 Lc: 7.83e-02, Lr: 6.51e-02, 
INFO:root:[Val - epoch 25]	 Lc: 1.69e+00, Lr: 6.46e-02, Accuracy: 6.79e-01, F1-score: 6.79e-01, 
INFO:root:[Train - epoch 26]	 Lc: 3.79e-02, Lr: 6.38e-02, 
INFO:root:[Val - epoch 26]	 Lc: 1.80e+00, Lr: 6.07e-02, Accuracy: 6.88e-01, F1-score: 6.88e-01, 
INFO:root:[Train - epoch 27]	 Lc: 4.16e-02, Lr: 6.06e-02, 
INFO:root:[Val - epoch 27]	 Lc: 1.79e+00, Lr: 5.97e-02, Accuracy: 7.21e-01, F1-score: 7.21e-01, 
INFO:root:[Train - epoch 28]	 Lc: 2.02e-02, Lr: 6.61e-02, 
INFO:root:[Val - epoch 28]	 Lc: 2.03e+00, Lr: 6.54e-02, Accuracy: 6.67e-01, F1-score: 6.67e-01, 
INFO:root:[Train - epoch 29]	 Lc: 2.03e-02, Lr: 6.49e-02, 
INFO:root:[Val - epoch 29]	 Lc: 1.72e+00, Lr: 6.42e-02, Accuracy: 6.87e-01, F1-score: 6.87e-01, 
