# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 4.4472454e+01 7.1191408e-02 4.9915813e+01 1.0954439e-01 5.0397861e-01 3.4176315e+01 1.0427161e-01 2.0843086e+00
2 3.0299980e+01 1.4343590e-01 4.8686428e+01 9.9525586e-02 4.5919037e+00 2.6543438e+01 2.2797339e-01 2.5826483e+00
3 2.5845257e+01 3.0173388e-01 4.7579636e+01 8.4714063e-02 1.0440404e+01 2.4286049e+01 4.1852996e-01 3.0419071e+00
4 2.4552416e+01 4.3629068e-01 4.6413666e+01 8.5517973e-02 1.5287689e+01 2.3748304e+01 4.6823218e-01 3.4872901e+00
5 2.4426531e+01 5.3708577e-01 4.5153732e+01 9.9281274e-02 1.8228165e+01 2.2873734e+01 6.9726014e-01 3.9473863e+00
6 2.3275642e+01 1.0519505e+00 4.3907921e+01 1.4906625e-01 1.7741438e+01 2.1398603e+01 1.5990456e+00 4.3914390e+00
7 2.2086327e+01 2.0768473e+00 4.2220158e+01 1.9532464e-01 1.3720467e+01 2.0910667e+01 1.9091275e+00 4.9617481e+00
8 2.1216648e+01 1.8685346e+00 4.1209999e+01 2.7041754e-01 1.4095558e+01 1.9966452e+01 2.0275166e+00 5.4349799e+00
9 2.0205812e+01 2.6903253e+00 4.1245701e+01 6.6396749e-01 1.4659084e+01 1.8817308e+01 3.5931661e+00 6.0456460e+00
10 1.8957575e+01 4.1333351e+00 4.0865273e+01 1.2530886e+00 1.4385528e+01 1.7608318e+01 4.6929960e+00 6.6127920e+00
11 1.8181664e+01 4.9804444e+00 4.0738258e+01 1.3311162e+00 1.5787797e+01 1.7165806e+01 5.1223369e+00 7.0811808e+00
12 1.7804123e+01 5.7615714e+00 3.9891537e+01 8.1310803e-01 1.6832773e+01 1.6557583e+01 6.3490677e+00 7.5612583e+00
13 1.7374750e+01 6.7344418e+00 3.9088364e+01 7.0234370e-01 1.6136177e+01 1.6154362e+01 7.0038505e+00 8.0189874e+00
14 1.7009153e+01 7.0937786e+00 3.8262150e+01 5.2534026e-01 1.6305843e+01 1.5712972e+01 7.0685639e+00 8.4836547e+00
15 1.6609180e+01 7.2507539e+00 3.7031563e+01 3.4245893e-01 1.6794752e+01 1.5232978e+01 7.2921443e+00 8.9402852e+00
16 1.6212107e+01 7.4391828e+00 3.5720604e+01 2.5635493e-01 1.6788227e+01 1.4785187e+01 7.4598651e+00 9.3930387e+00
17 1.5842611e+01 7.5727687e+00 3.4200485e+01 2.3135479e-01 1.7105659e+01 1.4344887e+01 7.6803474e+00 9.9902971e+00
18 1.5471552e+01 7.8268828e+00 3.2996845e+01 2.1953292e-01 1.7252094e+01 1.3943650e+01 7.8587012e+00 1.0528967e+01
19 1.5137254e+01 8.0095520e+00 3.1914564e+01 1.8943967e-01 1.7406807e+01 1.3574350e+01 7.9946222e+00 1.1009175e+01
20 1.4828486e+01 8.1754990e+00 3.0720440e+01 1.9316339e-01 1.7500538e+01 1.3253692e+01 8.2473202e+00 1.1517544e+01
21 1.4557612e+01 8.3874645e+00 2.9497663e+01 2.0697953e-01 1.7709352e+01 1.2978779e+01 8.4147806e+00 1.2006402e+01
22 1.4353585e+01 8.5101337e+00 2.8420038e+01 1.9007993e-01 1.7867035e+01 1.2744476e+01 8.5114193e+00 1.2489070e+01
23 1.4178823e+01 8.6141100e+00 2.7495924e+01 1.8844196e-01 1.7795282e+01 1.2563772e+01 8.6720781e+00 1.2971503e+01
24 1.4037512e+01 8.7763586e+00 2.6856291e+01 1.7677331e-01 1.8011259e+01 1.2440810e+01 8.8390465e+00 1.3445560e+01
25 1.3949031e+01 8.9293356e+00 2.6258816e+01 1.8573573e-01 1.8071905e+01 1.2350677e+01 9.0398617e+00 1.3931896e+01
26 1.3883405e+01 9.1256485e+00 2.5667843e+01 1.8647662e-01 1.8033667e+01 1.2285441e+01 9.2339716e+00 1.4425681e+01
27 1.3847179e+01 9.3156977e+00 2.5165173e+01 2.0056272e-01 1.8144312e+01 1.2256414e+01 9.4585686e+00 1.4870521e+01
28 1.3803156e+01 9.5190153e+00 2.4527092e+01 1.9184113e-01 1.8087469e+01 1.2214983e+01 9.6212254e+00 1.5305510e+01
29 1.3779296e+01 9.7247248e+00 2.3993250e+01 1.9755937e-01 1.8279085e+01 1.2190223e+01 9.8369713e+00 1.5717752e+01
30 1.3763538e+01 9.9363260e+00 2.3457474e+01 2.0225327e-01 1.8055080e+01 1.2179717e+01 9.9681177e+00 1.6129846e+01
31 1.3741796e+01 1.0028053e+01 2.2880383e+01 1.8066043e-01 1.8352013e+01 1.2169150e+01 1.0033489e+01 1.6545284e+01
32 1.3725760e+01 1.0085643e+01 2.2238533e+01 1.7130022e-01 1.8133841e+01 1.2145191e+01 1.0201185e+01 1.6984168e+01
33 1.3700866e+01 1.0395682e+01 2.1955044e+01 1.5906119e-01 1.8336948e+01 1.2124337e+01 1.0626202e+01 1.7394354e+01
34 1.3681231e+01 1.0792781e+01 2.1724094e+01 1.5684649e-01 1.8199671e+01 1.2085920e+01 1.0937588e+01 1.7810372e+01
35 1.3653913e+01 1.1041464e+01 2.1272333e+01 1.6555208e-01 1.8354061e+01 1.2057818e+01 1.1117705e+01 1.8221184e+01
36 1.3628519e+01 1.1167943e+01 2.0695950e+01 1.3932933e-01 1.8300537e+01 1.2023682e+01 1.1194902e+01 1.8632261e+01
37 1.3592283e+01 1.1314117e+01 2.0074770e+01 1.3626356e-01 1.8427969e+01 1.1992500e+01 1.1440531e+01 1.9054017e+01
38 1.3564507e+01 1.1606008e+01 1.9704647e+01 1.1633234e-01 1.8411236e+01 1.1956037e+01 1.1881164e+01 1.9480932e+01
39 1.3532312e+01 1.2166243e+01 1.9605894e+01 1.1664250e-01 1.8479080e+01 1.1908942e+01 1.2452564e+01 1.9894608e+01
40 1.3495493e+01 1.2767459e+01 1.9528503e+01 1.1027890e-01 1.8588861e+01 1.1862268e+01 1.2773984e+01 2.0305711e+01
41 1.3456338e+01 1.3113111e+01 1.9048243e+01 1.0561123e-01 1.8599272e+01 1.1809031e+01 1.2990156e+01 2.0724109e+01
42 1.3419944e+01 1.3442006e+01 1.8378437e+01 9.6107818e-02 1.8874300e+01 1.1757634e+01 1.3449269e+01 2.1134313e+01
43 1.3377498e+01 1.3805067e+01 1.7631779e+01 9.0778396e-02 1.8944857e+01 1.1716657e+01 1.3920219e+01 2.1543658e+01
44 1.3327299e+01 1.4228828e+01 1.6911968e+01 9.1068119e-02 1.8939234e+01 1.1639706e+01 1.4057003e+01 2.1955808e+01
45 1.3289860e+01 1.4714420e+01 1.6377291e+01 8.7582931e-02 1.9317621e+01 1.1574888e+01 1.4655375e+01 2.2378931e+01
46 1.3238274e+01 1.5294248e+01 1.5757172e+01 8.6250477e-02 1.9215073e+01 1.1520199e+01 1.5062761e+01 2.2783358e+01
47 1.3188704e+01 1.5689759e+01 1.5098010e+01 8.8840790e-02 1.9471594e+01 1.1459687e+01 1.5798940e+01 2.3188335e+01
48 1.3133898e+01 1.6717388e+01 1.4772105e+01 8.9721672e-02 1.9561172e+01 1.1378937e+01 1.6749758e+01 2.3598614e+01
49 1.3072811e+01 1.7518917e+01 1.4275225e+01 9.2077047e-02 1.9584690e+01 1.1305570e+01 1.6857199e+01 2.4006132e+01
50 1.3039880e+01 1.8690502e+01 1.3961323e+01 8.8473544e-02 1.9914679e+01 1.1231762e+01 1.8290180e+01 2.4412400e+01
51 1.2970052e+01 1.9872911e+01 1.3494269e+01 8.7186508e-02 2.0121700e+01 1.1225027e+01 1.8312580e+01 2.4820472e+01
52 1.2913040e+01 2.1093552e+01 1.2870216e+01 8.5695617e-02 2.0034891e+01 1.0937132e+01 2.1218922e+01 2.5230470e+01
53 1.2805947e+01 2.3872395e+01 1.3154262e+01 8.8303097e-02 2.0291853e+01 1.0931998e+01 2.2880644e+01 2.5640379e+01
54 1.2735259e+01 2.5030218e+01 1.2782648e+01 1.0300301e-01 2.0615133e+01 1.0688716e+01 2.4275797e+01 2.6049426e+01
55 1.2561109e+01 2.6111759e+01 1.3186914e+01 9.3883865e-02 2.0861845e+01 1.0627071e+01 2.5763351e+01 2.6459673e+01
56 1.2412641e+01 2.9231266e+01 1.3655355e+01 9.8981194e-02 2.0839087e+01 1.0310998e+01 3.0709003e+01 2.6871619e+01
57 1.2302175e+01 3.4317348e+01 1.4139535e+01 1.1523097e-01 2.0767370e+01 1.0411325e+01 3.4176880e+01 2.7278995e+01
58 1.2212051e+01 3.7166084e+01 1.4885799e+01 9.4411470e-02 2.1471464e+01 1.0204350e+01 3.6164749e+01 2.7684849e+01
59 1.2168196e+01 3.9652550e+01 1.5690003e+01 1.1889102e-01 2.1008892e+01 1.0114781e+01 3.7598751e+01 2.8091248e+01
60 1.2011703e+01 4.2080116e+01 1.5797494e+01 1.0491629e-01 2.1706100e+01 9.8718548e+00 3.8197926e+01 2.8512198e+01
61 1.1882233e+01 4.2499722e+01 1.5902245e+01 9.6762203e-02 2.1229719e+01 9.9940519e+00 3.7876919e+01 2.8922301e+01
62 1.1716789e+01 4.3601162e+01 1.5428100e+01 8.8881560e-02 2.1889278e+01 9.6126060e+00 4.1451736e+01 2.9337100e+01
63 1.1479492e+01 4.7972385e+01 1.5188244e+01 9.0947829e-02 2.1422325e+01 9.4402714e+00 4.6614422e+01 2.9743811e+01
64 1.1321000e+01 5.5049568e+01 1.5021367e+01 8.4789932e-02 2.1731392e+01 9.5367975e+00 5.2256992e+01 3.0153529e+01
65 1.1146666e+01 5.8202446e+01 1.4628035e+01 8.2415469e-02 2.1384314e+01 9.3244648e+00 5.7117172e+01 3.0561738e+01
66 1.1074859e+01 6.6861351e+01 1.4335449e+01 8.4106714e-02 2.1217499e+01 9.1154070e+00 6.8935829e+01 3.0970594e+01
67 1.0897213e+01 7.8685165e+01 1.4162937e+01 9.1848329e-02 2.1765835e+01 9.1494026e+00 7.1452820e+01 3.1382979e+01
68 1.0995770e+01 7.8440605e+01 1.3613319e+01 8.9107312e-02 2.1524965e+01 9.1113234e+00 6.8157677e+01 3.1794305e+01
69 1.0664061e+01 7.3126595e+01 1.3086670e+01 8.8424295e-02 2.2055784e+01 9.0072289e+00 6.3903103e+01 3.2205163e+01
70 1.0453028e+01 7.3114128e+01 1.2926682e+01 9.0461329e-02 2.1891296e+01 9.0554686e+00 6.7995392e+01 3.2613131e+01
71 1.0155476e+01 8.4837791e+01 1.2827921e+01 8.0655292e-02 2.2596855e+01 8.5721531e+00 8.4485954e+01 3.3025084e+01
72 9.7717209e+00 9.7607162e+01 1.2655313e+01 9.1183685e-02 2.2280169e+01 8.3811207e+00 8.8612854e+01 3.3439216e+01
73 9.4506512e+00 1.0146587e+02 1.2053208e+01 8.4571414e-02 2.2457512e+01 8.1716814e+00 9.3832695e+01 3.3858930e+01
74 9.1780729e+00 1.1230035e+02 1.1513223e+01 9.1189988e-02 2.2687212e+01 7.9899311e+00 1.0821944e+02 3.4266950e+01
75 8.8916521e+00 1.2196918e+02 1.1177349e+01 9.0867415e-02 2.2809977e+01 7.7669663e+00 1.1499081e+02 3.4677311e+01
76 8.7039003e+00 1.2915869e+02 1.0783718e+01 8.8552698e-02 2.2783875e+01 8.0029049e+00 1.2117539e+02 3.5086246e+01
77 8.4666872e+00 1.3441728e+02 1.0541451e+01 1.0049532e-01 2.2578787e+01 7.5419364e+00 1.1919457e+02 3.5504074e+01
78 7.9668565e+00 1.3567627e+02 1.0158263e+01 9.0398178e-02 2.3243044e+01 7.4142861e+00 1.3047083e+02 3.5910075e+01
79 7.7607918e+00 1.4896883e+02 1.0303426e+01 9.8029129e-02 2.3434544e+01 7.2368937e+00 1.4373117e+02 3.6338469e+01
80 7.5346284e+00 1.6321526e+02 1.0444028e+01 9.5167130e-02 2.3055168e+01 7.0117860e+00 1.5137704e+02 3.6747583e+01
81 7.3434529e+00 1.7280281e+02 1.0055386e+01 9.7491756e-02 2.3323742e+01 6.6927695e+00 1.6414879e+02 3.7156322e+01
