INFO:root:[Train - epoch 1]	 Lc: 1.56e+00, Accuracy: 5.98e-01, 
INFO:root:[Val - epoch 1]	 Lc: 9.25e-01, Accuracy: 7.28e-01, F1-score: 7.28e-01, 
INFO:root:[Train - epoch 2]	 Lc: 3.05e-01, Accuracy: 9.48e-01, 
INFO:root:[Val - epoch 2]	 Lc: 8.83e-01, Accuracy: 7.60e-01, F1-score: 7.60e-01, 
INFO:root:[Train - epoch 3]	 Lc: 4.74e-02, Accuracy: 9.89e-01, 
INFO:root:[Val - epoch 3]	 Lc: 1.14e+00, Accuracy: 7.38e-01, F1-score: 7.38e-01, 
INFO:root:[Train - epoch 4]	 Lc: 1.75e-02, Accuracy: 9.96e-01, 
INFO:root:[Val - epoch 4]	 Lc: 1.23e+00, Accuracy: 7.63e-01, F1-score: 7.63e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.14e-02, Accuracy: 9.97e-01, 
INFO:root:[Val - epoch 5]	 Lc: 1.31e+00, Accuracy: 7.86e-01, F1-score: 7.86e-01, 
INFO:root:[Train - epoch 6]	 Lc: 7.17e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 6]	 Lc: 1.46e+00, Accuracy: 7.80e-01, F1-score: 7.80e-01, 
INFO:root:[Train - epoch 7]	 Lc: 7.13e-03, Accuracy: 9.98e-01, 
INFO:root:[Val - epoch 7]	 Lc: 1.47e+00, Accuracy: 7.79e-01, F1-score: 7.79e-01, 
INFO:root:[Train - epoch 8]	 Lc: 4.14e-03, Accuracy: 9.99e-01, 
INFO:root:[Val - epoch 8]	 Lc: 1.48e+00, Accuracy: 7.84e-01, F1-score: 7.84e-01, 
INFO:root:[Train - epoch 9]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 9]	 Lc: 1.56e+00, Accuracy: 7.82e-01, F1-score: 7.82e-01, 
INFO:root:[Train - epoch 10]	 Lc: 8.68e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 10]	 Lc: 1.49e+00, Accuracy: 7.85e-01, F1-score: 7.85e-01, 
INFO:root:[Train - epoch 11]	 Lc: 7.79e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 11]	 Lc: 1.45e+00, Accuracy: 7.85e-01, F1-score: 7.85e-01, 
INFO:root:[Train - epoch 12]	 Lc: 8.27e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 12]	 Lc: 1.46e+00, Accuracy: 7.82e-01, F1-score: 7.82e-01, 
INFO:root:[Train - epoch 13]	 Lc: 8.06e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 13]	 Lc: 1.44e+00, Accuracy: 7.83e-01, F1-score: 7.83e-01, 
INFO:root:[Train - epoch 14]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 14]	 Lc: 1.52e+00, Accuracy: 7.80e-01, F1-score: 7.80e-01, 
INFO:root:[Train - epoch 15]	 Lc: 1.10e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 15]	 Lc: 1.38e+00, Accuracy: 7.86e-01, F1-score: 7.86e-01, 
INFO:root:[Train - epoch 16]	 Lc: 9.20e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 16]	 Lc: 1.45e+00, Accuracy: 7.82e-01, F1-score: 7.82e-01, 
INFO:root:[Train - epoch 17]	 Lc: 7.64e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 17]	 Lc: 1.63e+00, Accuracy: 7.74e-01, F1-score: 7.74e-01, 
INFO:root:[Train - epoch 18]	 Lc: 6.31e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 18]	 Lc: 1.55e+00, Accuracy: 7.76e-01, F1-score: 7.76e-01, 
INFO:root:[Train - epoch 19]	 Lc: 5.82e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 19]	 Lc: 1.61e+00, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 20]	 Lc: 1.16e-03, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 20]	 Lc: 1.65e+00, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 21]	 Lc: 5.83e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 21]	 Lc: 1.62e+00, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 22]	 Lc: 6.65e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 22]	 Lc: 1.57e+00, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 23]	 Lc: 6.46e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 23]	 Lc: 1.56e+00, Accuracy: 7.72e-01, F1-score: 7.72e-01, 
INFO:root:[Train - epoch 24]	 Lc: 8.12e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 24]	 Lc: 1.55e+00, Accuracy: 7.71e-01, F1-score: 7.71e-01, 
INFO:root:[Train - epoch 25]	 Lc: 8.01e-04, Accuracy: 1.00e+00, 
INFO:root:[Val - epoch 25]	 Lc: 1.53e+00, Accuracy: 7.70e-01, F1-score: 7.70e-01, 
INFO:root:[Train - epoch 26]	 Lc: 8.56e-04, Accuracy: 1.00e+00, 
