INFO:root:[Train - epoch 1]	 Lc: 1.93e+00, Lr: 2.63e-01, 
INFO:root:[Val - epoch 1]	 Lc: 2.25e+00, Lr: 1.96e-01, Accuracy: 7.03e-02, F1-score: 7.03e-02, 
INFO:root:[Train - epoch 2]	 Lc: 1.87e+00, Lr: 1.76e-01, 
INFO:root:[Val - epoch 2]	 Lc: 2.27e+00, Lr: 1.61e-01, Accuracy: 1.47e-01, F1-score: 1.47e-01, 
INFO:root:[Train - epoch 3]	 Lc: 1.60e+00, Lr: 1.64e-01, 
INFO:root:[Val - epoch 3]	 Lc: 2.23e+00, Lr: 1.51e-01, Accuracy: 7.09e-02, F1-score: 7.09e-02, 
INFO:root:[Train - epoch 4]	 Lc: 1.60e+00, Lr: 1.43e-01, 
INFO:root:[Val - epoch 4]	 Lc: 2.15e+00, Lr: 1.39e-01, Accuracy: 1.34e-01, F1-score: 1.34e-01, 
INFO:root:[Train - epoch 5]	 Lc: 1.52e+00, Lr: 1.41e-01, 
INFO:root:[Val - epoch 5]	 Lc: 2.21e+00, Lr: 1.14e-01, Accuracy: 1.22e-01, F1-score: 1.22e-01, 
INFO:root:[Train - epoch 6]	 Lc: 1.39e+00, Lr: 1.07e-01, 
INFO:root:[Val - epoch 6]	 Lc: 1.95e+00, Lr: 1.02e-01, Accuracy: 3.90e-01, F1-score: 3.90e-01, 
INFO:root:[Train - epoch 7]	 Lc: 1.19e+00, Lr: 9.15e-02, 
INFO:root:[Val - epoch 7]	 Lc: 1.64e+00, Lr: 7.73e-02, Accuracy: 5.10e-01, F1-score: 5.10e-01, 
INFO:root:[Train - epoch 8]	 Lc: 1.10e+00, Lr: 7.32e-02, 
INFO:root:[Val - epoch 8]	 Lc: 1.67e+00, Lr: 6.76e-02, Accuracy: 3.69e-01, F1-score: 3.69e-01, 
INFO:root:[Train - epoch 9]	 Lc: 9.18e-01, Lr: 6.42e-02, 
INFO:root:[Val - epoch 9]	 Lc: 1.90e+00, Lr: 5.37e-02, Accuracy: 1.43e-01, F1-score: 1.43e-01, 
INFO:root:[Train - epoch 10]	 Lc: 7.99e-01, Lr: 6.02e-02, 
INFO:root:[Val - epoch 10]	 Lc: 1.72e+00, Lr: 1.04e-01, Accuracy: 2.78e-01, F1-score: 2.78e-01, 
INFO:root:[Train - epoch 11]	 Lc: 4.60e-01, Lr: 1.04e-01, 
INFO:root:[Val - epoch 11]	 Lc: 1.59e+00, Lr: 9.21e-02, Accuracy: 5.11e-01, F1-score: 5.11e-01, 
INFO:root:[Train - epoch 12]	 Lc: 3.48e-01, Lr: 8.16e-02, 
INFO:root:[Val - epoch 12]	 Lc: 1.63e+00, Lr: 7.66e-02, Accuracy: 5.06e-01, F1-score: 5.06e-01, 
INFO:root:[Train - epoch 13]	 Lc: 4.91e-01, Lr: 7.98e-02, 
INFO:root:[Val - epoch 13]	 Lc: 2.25e+00, Lr: 8.43e-02, Accuracy: 4.27e-01, F1-score: 4.27e-01, 
INFO:root:[Train - epoch 14]	 Lc: 4.93e-01, Lr: 9.71e-02, 
INFO:root:[Val - epoch 14]	 Lc: 1.10e+00, Lr: 1.05e-01, Accuracy: 6.88e-01, F1-score: 6.88e-01, 
INFO:root:[Train - epoch 15]	 Lc: 3.06e-01, Lr: 8.85e-02, 
INFO:root:[Val - epoch 15]	 Lc: 1.98e+00, Lr: 6.28e-02, Accuracy: 4.81e-01, F1-score: 4.81e-01, 
INFO:root:[Train - epoch 16]	 Lc: 2.03e-01, Lr: 7.32e-02, 
INFO:root:[Val - epoch 16]	 Lc: 2.08e+00, Lr: 6.96e-02, Accuracy: 4.55e-01, F1-score: 4.55e-01, 
INFO:root:[Train - epoch 17]	 Lc: 4.36e-01, Lr: 6.75e-02, 
INFO:root:[Val - epoch 17]	 Lc: 1.27e+00, Lr: 6.17e-02, Accuracy: 7.02e-01, F1-score: 7.02e-01, 
INFO:root:[Train - epoch 18]	 Lc: 5.09e-01, Lr: 6.23e-02, 
INFO:root:[Val - epoch 18]	 Lc: 2.73e+00, Lr: 7.64e-02, Accuracy: 4.46e-01, F1-score: 4.46e-01, 
